Step			Energy			Magnetization
0			-380.000000			-102
1			-380.000000			-102
2			-380.000000			-100
3			-380.000000			-100
4			-380.000000			-100
5			-380.000000			-100
6			-380.000000			-100
7			-380.000000			-100
8			-380.000000			-102
9			-380.000000			-102
10			-384.000000			-100
11			-384.000000			-100
12			-384.000000			-100
13			-384.000000			-100
14			-384.000000			-100
15			-384.000000			-100
16			-384.000000			-100
17			-384.000000			-100
18			-384.000000			-100
19			-384.000000			-100
20			-384.000000			-100
21			-384.000000			-100
22			-384.000000			-100
23			-384.000000			-100
24			-384.000000			-100
25			-384.000000			-100
26			-384.000000			-100
27			-384.000000			-98
28			-384.000000			-100
29			-384.000000			-98
30			-384.000000			-98
31			-384.000000			-98
32			-384.000000			-98
33			-384.000000			-98
34			-384.000000			-98
35			-384.000000			-98
36			-384.000000			-98
37			-384.000000			-98
38			-388.000000			-96
39			-388.000000			-96
40			-388.000000			-96
41			-388.000000			-96
42			-388.000000			-96
43			-388.000000			-96
44			-388.000000			-96
45			-388.000000			-98
46			-388.000000			-98
47			-388.000000			-98
48			-388.000000			-98
49			-388.000000			-98
50			-388.000000			-98
51			-388.000000			-98
52			-388.000000			-98
53			-388.000000			-98
54			-388.000000			-98
55			-388.000000			-98
56			-388.000000			-98
57			-388.000000			-98
58			-388.000000			-98
59			-388.000000			-98
60			-388.000000			-98
61			-384.000000			-96
62			-384.000000			-96
63			-380.000000			-94
64			-380.000000			-94
65			-380.000000			-94
66			-380.000000			-94
67			-380.000000			-94
68			-380.000000			-94
69			-380.000000			-94
70			-376.000000			-92
71			-376.000000			-90
72			-376.000000			-90
73			-376.000000			-90
74			-376.000000			-90
75			-376.000000			-90
76			-376.000000			-90
77			-376.000000			-92
78			-376.000000			-92
79			-376.000000			-92
80			-376.000000			-92
81			-380.000000			-94
82			-380.000000			-94
83			-380.000000			-94
84			-380.000000			-94
85			-380.000000			-94
86			-380.000000			-94
87			-380.000000			-92
88			-380.000000			-92
89			-380.000000			-92
90			-380.000000			-92
91			-380.000000			-92
92			-380.000000			-92
93			-380.000000			-92
94			-380.000000			-92
95			-380.000000			-92
96			-380.000000			-92
97			-380.000000			-92
98			-380.000000			-92
99			-380.000000			-92
100			-380.000000			-92
101			-384.000000			-94
102			-384.000000			-96
103			-384.000000			-96
104			-384.000000			-94
105			-384.000000			-94
106			-384.000000			-92
107			-384.000000			-92
108			-384.000000			-92
109			-384.000000			-92
110			-384.000000			-94
111			-384.000000			-94
112			-384.000000			-94
113			-384.000000			-94
114			-384.000000			-94
115			-384.000000			-94
116			-384.000000			-94
117			-384.000000			-94
118			-384.000000			-94
119			-384.000000			-94
120			-384.000000			-94
121			-384.000000			-94
122			-384.000000			-94
123			-376.000000			-92
124			-376.000000			-92
125			-376.000000			-94
126			-376.000000			-94
127			-380.000000			-96
128			-380.000000			-96
129			-380.000000			-96
130			-380.000000			-96
131			-380.000000			-96
132			-380.000000			-96
133			-380.000000			-96
134			-380.000000			-96
135			-380.000000			-96
136			-380.000000			-96
137			-376.000000			-98
138			-380.000000			-96
139			-380.000000			-96
140			-380.000000			-96
141			-380.000000			-98
142			-380.000000			-98
143			-380.000000			-98
144			-376.000000			-96
145			-376.000000			-96
146			-376.000000			-96
147			-376.000000			-96
148			-376.000000			-96
149			-376.000000			-96
150			-376.000000			-96
151			-376.000000			-96
152			-376.000000			-96
153			-376.000000			-96
154			-376.000000			-96
155			-376.000000			-96
156			-376.000000			-96
157			-376.000000			-96
158			-376.000000			-96
159			-372.000000			-98
160			-372.000000			-98
161			-372.000000			-98
162			-372.000000			-98
163			-372.000000			-98
164			-372.000000			-98
165			-372.000000			-98
166			-372.000000			-98
167			-372.000000			-98
168			-372.000000			-96
169			-372.000000			-98
170			-376.000000			-100
171			-376.000000			-100
172			-376.000000			-102
173			-376.000000			-102
174			-376.000000			-102
175			-376.000000			-102
176			-376.000000			-102
177			-384.000000			-104
178			-388.000000			-102
179			-388.000000			-102
180			-388.000000			-102
181			-388.000000			-102
182			-388.000000			-102
183			-388.000000			-104
184			-388.000000			-104
185			-388.000000			-104
186			-388.000000			-104
187			-388.000000			-104
188			-388.000000			-104
189			-388.000000			-104
190			-388.000000			-104
191			-388.000000			-104
192			-388.000000			-104
193			-388.000000			-106
194			-388.000000			-106
195			-388.000000			-106
196			-388.000000			-106
197			-388.000000			-106
198			-384.000000			-104
199			-384.000000			-104
200			-384.000000			-104
201			-384.000000			-104
202			-384.000000			-104
203			-384.000000			-104
204			-384.000000			-102
205			-384.000000			-102
206			-384.000000			-102
207			-384.000000			-102
208			-384.000000			-102
209			-384.000000			-102
210			-384.000000			-102
211			-384.000000			-102
212			-384.000000			-102
213			-384.000000			-102
214			-384.000000			-102
215			-384.000000			-102
216			-384.000000			-102
217			-384.000000			-102
218			-384.000000			-102
219			-384.000000			-102
220			-384.000000			-102
221			-384.000000			-102
222			-384.000000			-102
223			-384.000000			-102
224			-384.000000			-102
225			-384.000000			-102
226			-384.000000			-102
227			-384.000000			-102
228			-384.000000			-102
229			-384.000000			-102
230			-388.000000			-104
231			-388.000000			-104
232			-388.000000			-104
233			-388.000000			-104
234			-388.000000			-104
235			-388.000000			-104
236			-388.000000			-104
237			-388.000000			-104
238			-388.000000			-104
239			-388.000000			-104
240			-388.000000			-104
241			-388.000000			-104
242			-388.000000			-104
243			-388.000000			-104
244			-388.000000			-106
245			-388.000000			-106
246			-388.000000			-106
247			-388.000000			-106
248			-388.000000			-106
249			-388.000000			-106
250			-388.000000			-106
251			-388.000000			-106
252			-388.000000			-106
253			-388.000000			-106
254			-388.000000			-106
255			-388.000000			-106
256			-388.000000			-106
257			-388.000000			-104
258			-388.000000			-104
259			-388.000000			-104
260			-388.000000			-104
261			-388.000000			-104
262			-388.000000			-104
263			-388.000000			-106
264			-388.000000			-106
265			-388.000000			-106
266			-388.000000			-106
267			-388.000000			-108
268			-388.000000			-108
269			-388.000000			-110
270			-388.000000			-110
271			-388.000000			-110
272			-388.000000			-110
273			-388.000000			-110
274			-388.000000			-108
275			-388.000000			-108
276			-388.000000			-108
277			-388.000000			-108
278			-388.000000			-108
279			-388.000000			-108
280			-388.000000			-108
281			-388.000000			-108
282			-388.000000			-108
283			-388.000000			-108
284			-388.000000			-106
285			-388.000000			-106
286			-388.000000			-108
287			-388.000000			-108
288			-388.000000			-108
289			-388.000000			-108
290			-388.000000			-108
291			-388.000000			-108
292			-388.000000			-110
293			-396.000000			-108
294			-396.000000			-108
295			-396.000000			-110
296			-396.000000			-110
297			-396.000000			-110
298			-396.000000			-110
299			-396.000000			-108
300			-396.000000			-108
301			-392.000000			-106
302			-392.000000			-106
303			-392.000000			-106
304			-392.000000			-106
305			-392.000000			-106
306			-392.000000			-106
307			-392.000000			-106
